
Project Name,020_MSM_Template_Mat_24_E23B
emmebank Title,020_MSM_Template_Mat_24_E23B
Year,2018
Slot No,12
Scenario Title AM,2018 AM 2018March_update_SepNet_AGSv1_E23B
Date,20240724
User,ChapaJay1
File Name,C:/002_D/MSM_P2_E23/020_MSM_Template_Mat_24_E23B/2018/2018/outputs/Landuse_Table/Landuse_Detailed_Table_2018_Slot_12.csv

c ,Zone,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH1PT1,HH1PT2,HH1PT3,HH1PT4,HH1PT5,HH1PT6,HH1PT7,HH1PT8,HH2PT1,HH2PT2,HH2PT3,HH2PT4,HH2PT5,HH2PT6,HH2PT7,HH2PT8,HH3PT1,HH3PT2,HH3PT3,HH3PT4,HH3PT5,HH3PT6,HH3PT7,HH3PT8,HH4PT1,HH4PT2,HH4PT3,HH4PT4,HH4PT5,HH4PT6,HH4PT7,HH4PT8,HH5PT1,HH5PT2,HH5PT3,HH5PT4,HH5PT5,HH5PT6,HH5PT7,HH5PT8,HH6PT1,HH6PT2,HH6PT3,HH6PT4,HH6PT5,HH6PT6,HH6PT7,HH6PT8,HH7PT1,HH7PT2,HH7PT3,HH7PT4,HH7PT5,HH7PT6,HH7PT7,HH7PT8,HH8PT1,HH8PT2,HH8PT3,HH8PT4,HH8PT5,HH8PT6,HH8PT7,HH8PT8,E1,E2,E3,E4,E5,E6,Prim,Sec,Tert
,11,6.38196,6.88214,12.11211,7.33172,18.01720,3.47021,6.54655,5.95699,0.29748,0.48791,0.55629,0.00000,0.00000,0.41744,3.16329,3.05095,0.21725,0.35633,0.40626,0.33632,6.95599,0.00000,0.00000,0.00000,2.97495,3.52481,3.38280,0.00000,0.00000,2.03374,14.13272,10.83975,2.76576,3.27696,3.14493,0.59701,7.88805,0.88920,6.17917,1.05587,6.85191,8.11836,7.79128,2.83598,37.47070,0.00054,0.00375,0.01753,0.63790,0.73131,1.20602,0.50883,1.30137,4.19413,5.43206,1.51631,1.14413,1.31166,2.16310,3.83914,9.81892,3.91474,5.07020,1.46699,0.87889,1.00758,1.66163,5.50324,14.07498,0.84208,1.09063,0.28662,4.29773,6.60784,29.78295,2.20272,15.40806,31.96610,0.00000,0.00000,0.00000
,12,158.6912,43.05452,118.2845,29.77518,77.65380,15.45273,25.56146,18.38933,2.66023,4.36324,4.97467,0.00000,0.00000,2.23040,16.90155,134.5046,3.26329,5.35237,6.10240,1.89972,39.29100,0.00000,6e-07,0.00000,7.27974,8.62527,8.27776,0.00000,0.00000,6.68705,46.46914,180.9305,7.77012,9.20629,8.83538,2.20420,29.12330,2.62700,18.25537,8.84471,20.87844,24.73744,23.74078,10.99503,145.2731,0.00655,0.04553,0.16275,1.63586,1.87539,3.09276,1.89992,4.85920,11.32523,14.66795,15.54572,2.80722,3.21826,5.30733,12.40187,31.71877,9.13078,11.82580,12.74301,2.03535,2.33336,3.84802,14.57480,37.27622,1.75261,2.26990,2.00088,217.0409,55.09820,81.15650,217.1095,347.9862,237.0677,1039.000,984.0000,24.64000
,13,5.96614,6.09468,5.90903,4.27964,14.15791,1.58457,3.48374,4.00080,0.86104,1.41226,1.61016,0.00000,0.00000,0.52983,4.01496,2.90084,0.69193,1.13489,1.29392,0.32706,6.76449,0.00000,1e-07,0.00000,0.57816,0.68502,0.65742,0.00000,0.00000,0.58013,4.03143,7.41442,0.81303,0.96331,0.92450,0.24387,3.22213,0.34001,2.36279,0.64082,2.82731,3.34989,3.21492,1.49539,19.75806,0.00074,0.00517,0.01811,0.12373,0.14185,0.23393,0.21388,0.54702,1.60656,2.08075,0.88341,0.28054,0.32162,0.53040,1.86675,4.77437,1.71565,2.22204,0.96790,0.21342,0.24467,0.40349,3.59898,9.20467,0.40020,0.51832,0.20468,2.49261,1.27779,9.98091,1.27754,14.30903,12.55832,0.00000,0.00000,0.00000
,14,4.42990,5.49723,6.59020,4.39541,14.06729,1.40636,2.86357,3.19477,0.21990,0.36067,0.41122,0.00000,0.00000,0.17866,1.35388,2.66617,0.26421,0.43335,0.49408,0.24045,4.97317,0.00000,1e-07,0.00000,0.83350,0.98756,0.94777,0.00000,0.00000,0.51460,3.57600,8.77257,1.18609,1.40532,1.34870,0.28813,3.80692,0.28177,1.95807,1.72240,4.21707,4.99652,4.79521,1.73028,22.86158,0.00250,0.01738,0.00856,0.08790,0.10077,0.16619,0.19740,0.50487,0.93661,1.21306,2.10369,0.19594,0.22463,0.37045,1.58841,4.06249,0.93081,1.20555,2.06520,0.26157,0.29987,0.49453,2.77044,7.08563,0.22106,0.28631,0.40691,2.31732,1.18793,9.99295,1.18770,8.30800,15.67907,0.00000,0.00000,0.00000
,15,6.66880,7.69112,7.89399,6.03691,17.92546,2.97793,5.87224,5.56887,0.30984,0.50820,0.57941,0.00000,0.00000,0.38339,2.90524,2.95132,0.24679,0.40479,0.46151,0.34044,7.04112,0.00000,2e-07,0.00000,1.35147,1.60126,1.53675,0.00000,0.00000,0.96941,6.73656,11.32795,1.83096,2.16938,2.08197,0.38359,5.06816,0.51526,3.58059,1.18222,6.12634,7.25868,6.96623,2.16895,28.65750,0.00094,0.00655,0.01677,0.56201,0.64430,1.06254,0.43308,1.10765,3.18104,4.11995,2.11995,1.07485,1.23223,2.03211,3.45295,8.83120,3.12704,4.05001,2.14686,0.83378,0.95586,1.57634,4.79916,12.27422,0.65090,0.84302,0.38957,2.44759,35.86570,1.25672,1.25447,8.77500,72.99010,0.00000,0.00000,0.00000
,16,65.86101,89.80756,158.0186,93.58848,254.3658,35.88055,76.64153,57.95575,2.05640,3.37286,3.84550,0.00000,0.00000,3.64682,27.63490,31.22252,2.71933,4.46018,5.08519,3.91974,81.07037,0.00000,6e-07,0.00000,20.94908,24.82113,23.82111,0.00000,0.00000,17.99295,125.0352,159.2769,23.88827,28.30358,27.16325,6.56873,86.79008,8.94066,62.12977,18.98957,68.40911,81.05331,77.78773,35.79676,472.9691,0.00965,0.06704,0.14162,4.69003,5.37676,8.86697,4.88654,12.49771,33.54166,43.44172,27.34633,9.15243,10.49255,17.30358,41.88937,107.1354,35.15104,45.52612,29.45684,6.16746,7.07051,11.66018,50.06440,128.0437,5.69045,7.37003,4.08557,86.57990,106.8980,12.97813,90.68380,67.84927,122.2761,4.00000,2.00000,0.00000
,17,166.9837,223.8889,311.6903,267.9076,866.3994,88.57317,196.8664,268.7119,8.82819,14.47978,16.50884,0.00000,0.00000,7.63876,57.88499,91.55100,14.77735,24.23747,27.63388,9.68902,200.3938,4e-07,3.1e-06,0.00000,49.75634,58.95290,56.57773,0.00000,0.00000,39.67540,275.7094,287.3811,79.03764,93.64629,89.87337,18.73635,247.5562,27.21350,189.1100,44.94220,260.3748,308.5005,296.0712,121.4709,1604.949,0.18775,1.30471,0.64374,15.93678,18.27027,30.13005,12.54415,32.08266,91.34190,118.3021,55.83862,35.78128,41.02042,67.64803,112.3009,287.2185,100.1167,129.6669,62.13058,42.07546,48.23620,79.54778,241.7333,618.2521,25.38346,32.87557,14.37217,102.5903,210.0830,71.21890,145.4137,192.4940,533.6894,700.0000,0.00000,0.00000
,18,101.7449,114.0272,127.1523,77.52754,232.6210,30.12589,65.00325,78.19363,3.20155,5.25110,5.98694,0.00000,0.00000,4.02349,30.48922,59.28635,5.13697,8.42555,9.60623,4.85479,100.4095,3e-07,2.9e-06,0.00000,14.47062,17.14526,16.45448,0.00000,0.00000,12.68962,88.18177,139.1106,19.82152,23.48517,22.53897,5.32877,70.40707,7.41935,51.55797,14.63800,61.13590,72.43577,69.51738,31.88294,421.2573,0.02653,0.18439,0.19716,3.31794,3.80376,6.27290,3.55332,9.08790,25.49236,33.01661,17.31134,7.35984,8.43748,13.91450,30.92740,79.09930,27.14309,35.15457,18.77183,7.22636,8.28445,13.66214,58.49311,149.6008,6.35296,8.22808,4.02460,14.56207,61.72490,13.01552,25.98430,53.70413,56.86621,0.00000,0.00000,0.00000
,19,285.1931,142.4039,403.7877,112.0624,283.8480,41.02157,84.43891,66.92088,5.69473,9.34036,10.64924,0.00000,0.00000,6.24618,47.33234,227.4151,9.52038,15.61511,17.80326,6.50840,134.6104,0.00000,6e-07,0.00000,21.81013,25.84135,24.80021,0.00000,0.00000,23.57450,163.8222,606.9250,22.92072,27.15720,26.06305,8.28638,109.4848,9.99126,69.43050,32.24379,62.51153,74.06567,71.08161,41.89840,553.5877,0.01891,0.13143,0.35586,4.37368,5.01408,8.26887,5.49974,14.06603,36.07300,46.72021,35.21923,8.45073,9.68810,15.97693,45.72743,116.9515,36.53840,47.32297,36.59650,5.75373,6.59620,10.87799,57.49087,147.0375,6.21429,8.04848,5.54054,15.48274,84.42447,45.53220,74.66860,106.6361,73.35966,366.0000,0.00000,0.00000
,20,346.3784,126.8395,243.2812,78.46761,190.5636,34.38695,60.04710,47.11016,4.70097,7.71043,8.79090,0.00000,0.00000,5.57353,42.23512,286.6475,7.48693,12.27989,14.00068,5.68413,117.5624,0.00000,4e-07,0.00000,14.41941,17.08458,16.39625,0.00000,0.00000,16.55939,115.0732,346.8447,14.03546,16.62967,15.95967,5.71625,75.52666,6.59985,45.86322,24.66843,36.34465,43.06231,41.32735,27.61162,364.8219,0.01166,0.08100,0.23191,2.34465,2.68795,4.43278,3.87098,9.90034,23.51732,30.45863,29.59614,3.74451,4.29279,7.07937,27.30094,69.82433,20.31893,26.31621,25.74189,2.42476,2.77979,4.58424,33.19580,84.90089,3.49002,4.52012,3.88654,30.30520,370.6020,25.82230,686.2850,624.2781,112.1093,0.00000,0.00000,0.00000
