
Project Name,0295_TimeOfUseCharging_2404_E23b
emmebank Title,020_MSM_Template_Mat_24_E23B
Year,2026
Slot No,16
Scenario Title AM,2026 AM TOUCH_base_AGSv1_E23B_NC
Date,20240724
User,ChapaJay1
File Name,C:/001_Z/MSM_P2_E23b/0295_TimeOfUseCharging_2404/2026/2026/outputs/Landuse_Table/Landuse_Detailed_Table_2026_Slot_16.csv

c ,Zone,HH1,HH2,HH3,HH4,HH5,HH6,HH7,HH8,HH1PT1,HH1PT2,HH1PT3,HH1PT4,HH1PT5,HH1PT6,HH1PT7,HH1PT8,HH2PT1,HH2PT2,HH2PT3,HH2PT4,HH2PT5,HH2PT6,HH2PT7,HH2PT8,HH3PT1,HH3PT2,HH3PT3,HH3PT4,HH3PT5,HH3PT6,HH3PT7,HH3PT8,HH4PT1,HH4PT2,HH4PT3,HH4PT4,HH4PT5,HH4PT6,HH4PT7,HH4PT8,HH5PT1,HH5PT2,HH5PT3,HH5PT4,HH5PT5,HH5PT6,HH5PT7,HH5PT8,HH6PT1,HH6PT2,HH6PT3,HH6PT4,HH6PT5,HH6PT6,HH6PT7,HH6PT8,HH7PT1,HH7PT2,HH7PT3,HH7PT4,HH7PT5,HH7PT6,HH7PT7,HH7PT8,HH8PT1,HH8PT2,HH8PT3,HH8PT4,HH8PT5,HH8PT6,HH8PT7,HH8PT8,E1,E2,E3,E4,E5,E6,Prim,Sec,Tert
,11,5.85989,6.61931,11.92593,4.39069,19.13963,4.81046,9.07029,11.18621,0.22781,0.35519,0.42999,0.00000,0.00000,0.29025,2.11119,3.45845,0.21131,0.32165,0.38622,0.28502,6.33429,1.6583e-06,0.00001,0.00008,2.11199,2.41949,2.48240,0.00000,0.00000,1.38240,10.41146,12.05800,1.84031,2.10965,2.16387,0.27763,4.11307,0.51811,2.70495,0.87873,5.76539,6.59702,6.77280,2.44459,35.83467,0.00039,0.00302,0.01945,1.22808,1.39936,1.89173,0.22340,0.89723,3.40740,6.68076,6.74647,2.67167,3.03980,4.11202,3.63809,14.50249,4.13217,6.71342,2.38688,2.19446,2.49564,3.37663,7.38713,29.37741,0.88350,1.66372,0.47500,21.22526,8.74058,50.25460,21.21191,19.34565,60.65202,1.37526,0.53945,0.00000
,12,166.5223,55.99677,118.2024,19.74846,94.30546,15.15501,22.57065,23.49586,2.63647,4.03614,4.83079,0.00000,0.00000,2.27966,15.50054,148.7420,4.47889,6.64182,7.83804,2.91950,53.07726,0.00017,0.00132,0.00494,6.53404,7.46592,7.77089,0.00000,0.00000,6.05936,42.31804,188.0274,6.42702,7.35442,7.63630,1.32078,18.42768,1.73198,7.13242,9.20809,22.26769,25.43660,26.40198,13.00385,175.6071,0.00577,0.04510,0.16438,1.67649,1.86580,3.08325,0.90094,2.73564,7.65005,10.20816,25.87270,3.47591,3.86493,6.38648,11.18982,33.95148,8.84534,11.43189,14.27911,2.61991,2.91626,4.83483,17.48295,53.00466,1.67551,2.54174,2.38587,239.4492,75.66256,103.5551,240.0918,411.8046,285.4995,1045.356,986.4933,22.47469
,13,8.11404,9.14283,6.30271,1.68698,12.10229,1.02786,2.44387,4.65593,0.79191,1.23914,1.50163,0.00000,0.00000,0.49242,3.59657,4.02505,0.87440,1.31328,1.56639,0.45735,8.68548,0.00003,0.00025,0.00110,0.46042,0.52742,0.54317,0.00000,0.00000,0.54126,3.43365,8.63053,0.56587,0.64914,0.66810,0.10929,1.57769,0.19957,0.75012,0.62087,2.78360,3.18449,3.28208,1.68664,22.51794,0.00062,0.00485,0.02089,0.08859,0.09833,0.17313,0.05881,0.17095,0.97827,1.23163,1.01879,0.25663,0.28431,0.50100,1.26039,3.62735,1.36664,1.57913,0.93870,0.20861,0.23100,0.40714,3.85183,11.04841,0.35174,0.51161,0.21116,3.46071,2.28692,13.99319,1.68808,18.73090,17.27745,0.00000,0.00000,0.00000
,14,5.61365,8.62394,6.39830,1.94852,13.33253,0.96319,2.05288,3.51174,0.26910,0.38895,0.45509,0.00000,0.00000,0.19958,1.16988,4.24419,0.70779,0.92532,1.03334,0.50097,8.12296,0.00020,0.00153,0.00090,0.62632,0.71800,0.73933,0.00000,0.00000,0.44935,2.75815,9.58909,0.77298,0.88752,0.91311,0.12948,1.81903,0.13307,0.16728,1.56442,3.92923,4.49741,4.64000,1.89637,24.76869,0.00197,0.01541,0.00905,0.05992,0.06654,0.11714,0.05993,0.17392,0.44237,0.49246,2.22531,0.16063,0.17812,0.31375,1.05865,3.04711,0.70633,0.72530,1.80328,0.24156,0.26762,0.47158,2.79973,8.03421,0.19172,0.27891,0.39256,0.67888,0.40525,3.31887,0.34573,2.54042,5.00022,0.00000,0.00000,0.00000
,15,7.65323,10.17539,11.39527,3.29318,19.72918,2.32505,5.82984,7.40275,0.35393,0.53862,0.64524,0.00000,0.00000,0.39336,2.72626,4.53361,0.49087,0.68434,0.78994,0.49564,9.67975,0.00002,0.00019,0.00061,1.23571,1.41589,1.45907,0.00000,0.00000,0.96289,6.51733,15.31031,1.47958,1.69755,1.74835,0.21345,3.07973,0.35988,1.44865,1.29713,6.88708,7.88038,8.12008,2.62762,36.83074,0.00090,0.00702,0.02250,0.47791,0.53035,0.93386,0.15716,0.45607,2.25072,2.85060,2.84388,1.12172,1.24286,2.18997,3.00872,8.65097,3.01684,3.76476,2.35199,0.93100,1.03102,1.81710,5.86660,16.82920,0.63767,0.92757,0.44329,2.48980,37.77389,1.36603,1.13508,8.28967,72.22259,1.56399,0.61348,0.00000
,16,80.65573,125.2197,179.1512,59.12683,330.6442,28.28168,75.63884,79.13142,2.65206,3.87055,4.54457,0.00000,0.00000,4.12875,26.79520,49.73178,5.60790,7.74338,8.87056,6.26321,118.9564,0.00022,0.00169,0.00449,19.93541,22.82496,23.47606,0.00000,0.00000,17.33406,123.1287,217.8396,20.75965,23.79566,24.46136,3.79874,55.32809,6.49984,27.79474,21.22971,78.27657,89.53606,92.10896,43.54454,617.7438,0.00932,0.07274,0.19060,4.14437,4.59079,8.05081,1.54394,4.49592,22.95043,28.10657,38.84022,10.01775,11.08189,19.45947,39.01952,112.2582,35.48884,44.93497,33.17822,7.13377,7.88996,13.86283,62.81259,180.3721,5.69665,8.29476,4.84952,82.90559,120.7573,15.70790,88.08177,68.60278,127.0221,27.13903,11.07635,0.00000
,17,204.7658,280.8997,364.9612,135.1209,1072.875,72.67906,163.8891,368.0819,8.54506,13.14017,15.81530,0.00000,0.00000,7.42032,47.11038,150.2351,21.25665,31.43477,37.32507,13.41562,267.4841,0.00260,0.01993,0.01481,43.40995,49.76519,51.10897,0.00000,0.00000,34.87433,252.0003,443.0478,62.72007,71.98129,73.88714,8.54066,126.5802,17.75679,63.78819,48.32035,286.1530,327.5097,336.7527,138.8496,2006.900,0.17553,1.37044,0.98796,14.14351,15.76933,26.86301,3.82363,11.48601,62.63712,80.34421,96.17050,38.86934,43.26911,73.75993,82.47571,245.3025,89.11146,100.5399,70.58031,50.72939,56.42782,96.22409,297.2771,880.7322,24.68857,36.84686,16.71881,125.4229,289.4251,96.92471,173.1083,239.2514,668.3022,759.3979,23.29900,0.00000
,18,116.4633,166.2019,114.9194,34.31872,238.8484,20.60925,38.06367,76.20744,4.68535,6.33317,6.99162,0.00000,0.00000,4.99073,29.98403,81.48851,14.00221,17.86483,19.08266,9.59852,156.6034,0.00151,0.01215,0.02640,12.08661,13.73060,13.93768,0.00000,0.00000,11.14176,70.38413,148.3128,14.28951,16.30129,16.61518,2.20911,32.10960,4.00192,15.63468,12.81531,58.96504,67.18068,68.88478,33.90220,443.7946,0.01924,0.15083,0.20238,2.43893,2.70732,4.57837,0.87628,2.59799,13.66141,17.47189,27.22016,6.79070,7.52503,12.71321,19.19455,56.93279,19.56461,22.76145,17.61271,7.32937,8.11449,13.69543,57.60528,171.0170,5.23834,7.85429,4.34633,15.83723,73.13211,15.61215,27.34650,58.60984,63.14471,0.00000,0.00000,0.00000
,19,271.9388,172.8235,358.5173,59.63253,302.8893,63.79082,77.48208,83.37118,4.89967,7.71012,9.66590,0.00000,0.00000,6.43042,39.02017,226.4882,10.87567,17.04273,21.40416,9.83710,162.9864,0.00006,0.00051,0.00877,16.33695,20.64177,23.36866,0.00000,0.00000,19.78494,128.5455,568.7042,14.80622,18.71963,20.99504,4.07401,55.55853,5.55654,21.87372,26.74691,51.00611,64.62280,72.36501,42.80743,562.9711,0.01213,0.09620,0.28622,4.40066,5.46260,9.53542,1.96848,5.95444,21.29865,28.88755,155.8326,9.72836,12.11643,20.98939,37.37135,117.5928,30.81892,41.04325,41.66048,6.69020,8.34739,14.38145,60.84741,193.9575,4.94459,7.90659,6.58907,19.59223,104.6433,63.47506,91.73693,125.7596,98.45520,366.0000,0.00000,0.00000
,20,357.9509,176.1256,241.0097,48.28768,226.7724,40.73013,46.80543,48.95360,4.78527,7.63589,9.63903,0.00000,0.00000,6.67495,40.43078,310.8452,10.48764,16.52414,20.83064,9.94663,166.1790,0.00042,0.00337,0.01758,11.97034,15.12660,17.06610,0.00000,0.00000,15.42990,100.4822,366.1073,10.32014,13.04685,14.62779,3.33098,44.95670,4.12971,16.37481,23.64378,33.58814,42.54464,47.62567,32.60113,420.9435,0.00869,0.06888,0.20911,2.23578,2.72907,5.20679,1.89970,5.34190,14.98715,18.23871,81.72293,3.86957,4.73252,9.01837,24.26679,69.34407,18.30308,22.42970,29.52317,2.49476,3.05430,5.81294,37.86333,108.9975,3.06788,4.51701,4.91619,38.39742,447.9844,47.38441,792.4316,689.5349,144.9228,7.14739,5.23747,0.00000
